Date,Open/Close,PositionNum,Type,Price,Shares,Investment,Profit,CurrentCapital
2017-09-13,open,0,short,240.83333333333334,33,7947.5,,22947.5
2017-09-14,open,1,short,244.4466666666667,36,8800.08,,31747.58
2017-09-15,open,2,short,248.38666666666666,64,15896.746666666666,,47644.32666666667
2017-09-18,open,3,short,251.92583333333334,36,9069.33,,56713.65666666667
2017-09-19,open,4,short,253.087,29,7339.522999999999,,64053.17966666667
2017-09-20,open,5,short,254.8008,26,6624.8208,,70678.00046666666
2017-09-21,open,6,short,255.81796666666665,19,4860.541366666666,,75538.54183333334
2017-09-22,open,7,short,257.29333333333335,24,6175.040000000001,,81713.58183333333
2017-09-25,close,2,short,254.26333333333332,64,,-376.10666666666657,65440.728500000005
2017-09-25,close,7,short,254.26333333333332,24,,72.72000000000116,59338.408500000005
2017-09-25,open,8,short,254.26333333333332,23,5848.056666666666,,65186.46516666667
2017-09-26,open,9,short,254.57333333333335,14,3564.026666666667,,68750.49183333333
2017-09-27,open,10,short,256.007,26,6656.182,,75406.67383333333
2017-09-28,close,3,short,253.74666666666667,36,,-65.55000000000109,66271.79383333333
2017-09-28,open,11,short,253.74666666666667,17,4313.693333333334,,70585.48716666666
2017-09-29,close,4,short,254.02033333333335,29,,-27.066666666668425,63218.89749999999
2017-09-29,open,12,short,254.02033333333335,17,4318.345666666667,,67537.24316666665
2017-10-02,open,13,short,255.17003333333332,18,4593.0606,,72130.30376666665
2017-10-03,open,14,short,256.1366666666667,21,5378.870000000001,,77509.17376666664
2017-10-04,open,15,short,255.65333333333334,20,5113.066666666667,,82622.24043333331
2017-10-05,close,8,short,257.55333333333334,23,,-75.67000000000007,76698.51376666664
2017-10-05,open,16,short,257.55333333333334,26,6696.386666666667,,83394.90043333331
2017-10-06,close,9,short,258.18059999999997,14,,-50.501733333332595,79780.3720333333
2017-10-06,open,17,short,258.18059999999997,18,4647.2508,,84427.6228333333
2017-10-09,close,12,short,258.1666666666667,17,,-70.48766666666688,80038.78949999997
2017-10-09,open,18,short,258.1666666666667,14,3614.3333333333335,,83653.1228333333
2017-10-10,open,19,short,259.73,18,4675.14,,88328.2628333333
2017-10-11,open,20,short,260.7033333333333,19,4953.363333333333,,93281.62616666663
2017-10-12,close,13,short,261.63000000000005,18,,-116.27940000000126,88572.28616666663
2017-10-12,open,21,short,261.63000000000005,16,4186.080000000001,,92758.36616666663
2017-10-13,close,14,short,261.75666666666666,21,,-118.01999999999862,87261.47616666663
2017-10-13,open,22,short,261.75666666666666,14,3664.5933333333332,,90926.06949999997
2017-10-16,close,17,short,260.48,18,,-41.38920000000053,86237.42949999997
2017-10-16,open,23,short,260.48,11,2865.28,,89102.70949999997
2017-10-17,close,20,short,257.9766666666667,19,,51.80666666666548,84201.15283333331
2017-10-17,close,22,short,257.9766666666667,14,,52.91999999999962,80589.47949999997
2017-10-17,open,24,short,257.9766666666667,16,4127.626666666667,,84717.10616666664
2017-10-18,open,25,short,259.1433333333334,13,3368.8633333333337,,88085.96949999996
2017-10-19,close,18,short,258.0566666666667,14,,1.5399999999999636,84473.17616666663
2017-10-19,close,21,short,258.0566666666667,16,,57.173333333334085,80344.26949999997
2017-10-19,open,26,short,258.0566666666667,17,4386.963333333333,,84731.2328333333
2017-10-20,close,19,short,263.00573333333335,18,,-58.96320000000014,79997.1296333333
2017-10-20,open,27,short,263.00573333333335,25,6575.143333333333,,86572.27296666664
2017-10-23,open,28,short,263.47999999999996,21,5533.079999999999,,92105.35296666664
2017-10-24,open,29,short,265.48333333333335,27,7168.05,,99273.40296666665
2017-10-25,close,27,short,259.6333333333333,25,,84.3100000000004,92782.5696333333
2017-10-25,close,29,short,259.6333333333333,27,,157.95000000000073,85772.4696333333
2017-10-25,open,30,short,259.6333333333333,48,12462.4,,98234.86963333329
2017-10-26,close,23,short,259.34,11,,12.540000000000418,95382.12963333329
2017-10-26,close,28,short,259.34,21,,86.9399999999996,89935.98963333329
2017-10-26,open,31,short,259.34,22,5705.48,,95641.46963333328
2017-10-27,close,24,short,257.2531333333333,16,,11.576533333333828,91525.41949999996
2017-10-27,open,32,short,257.2531333333333,19,4887.809533333333,,96413.2290333333
2017-10-30,open,33,short,258.33000000000004,20,5166.6,,101579.8290333333
2017-10-31,open,34,short,258.46000000000004,18,4652.280000000001,,106232.1090333333
2017-11-01,open,35,short,258.05,19,4902.95,,111135.0590333333
2017-11-02,open,36,short,261.29,16,4180.64,,115315.6990333333
2017-11-03,open,37,short,261.8733333333333,17,4451.846666666665,,119767.54569999996
2017-11-06,close,32,short,264.14756666666665,19,,-130.9942333333329,114748.7419333333
2017-11-06,open,38,short,264.14756666666665,18,4754.656199999999,,119503.39813333329
2017-11-07,open,39,short,265.82666666666665,20,5316.533333333333,,124819.93146666663
2017-11-08,open,40,short,266.16,18,4790.88,,129610.81146666664
2017-11-09,close,33,short,263.0042,20,,-93.48400000000038,124350.72746666663
2017-11-09,close,39,short,263.0042,20,,56.449333333332106,119090.64346666663
2017-11-09,open,41,short,263.0042,20,5260.084000000001,,124350.72746666663
2017-11-10,close,34,short,260.98333333333335,18,,-45.42000000000007,119653.02746666664
2017-11-10,close,38,short,260.98333333333335,18,,56.95619999999872,114955.32746666664
2017-11-10,open,42,short,260.98333333333335,11,2870.8166666666666,,117826.1441333333
2017-11-13,close,37,short,262.09,17,,-3.6833333333343035,113370.6141333333
2017-11-13,open,43,short,262.09,17,4455.53,,117826.1441333333
2017-11-14,close,40,short,261.4533333333333,18,,84.72000000000025,113119.9841333333
2017-11-14,open,44,short,261.4533333333333,15,3921.7999999999997,,117041.7841333333
2017-11-15,open,45,short,262.5933333333333,16,4201.493333333333,,121243.27746666664
2017-11-16,open,46,short,264.02666666666664,17,4488.453333333333,,125731.73079999998
2017-11-17,open,47,short,262.6766666666667,11,2889.4433333333336,,128621.1741333333
2017-11-20,close,42,short,264.3363,11,,-36.88263333333316,125713.47483333331
2017-11-20,open,48,short,264.3363,15,3965.0445,,129678.51933333332
2017-11-21,open,49,short,266.23333333333335,14,3727.266666666667,,133405.786
2017-11-22,open,50,short,265.71999999999997,9,2391.4799999999996,,135797.266
2017-11-24,close,44,short,265.66013333333336,15,,-63.10200000000077,131812.364
2017-11-24,open,51,short,265.66013333333336,5,1328.3006666666668,,133140.66466666668
2017-11-27,close,47,short,265.7133333333333,11,,-33.40333333333274,130217.81800000003
2017-11-27,open,52,short,265.7133333333333,11,2922.8466666666664,,133140.6646666667
2017-11-28,open,53,short,267.07666666666665,14,3739.0733333333333,,136879.73800000004
2017-11-29,open,54,short,268.37690000000003,19,5099.1611,,141978.89910000004
2017-11-30,close,48,short,274.42333333333335,15,,-151.3055000000004,137862.54910000006
2017-11-30,open,55,short,274.42333333333335,29,7958.276666666667,,145820.82576666673
2017-12-01,close,49,short,273.57,14,,-102.71333333333314,141990.84576666675
2017-12-01,open,56,short,273.57,28,7659.96,,149650.80576666674
2017-12-04,close,51,short,278.59999999999997,5,,-64.69933333333302,148257.80576666674
2017-12-04,open,57,short,278.59999999999997,33,9193.8,,157451.60576666673
2017-12-05,open,58,short,276.61333333333334,16,4425.8133333333335,,161877.41910000006
2017-12-06,open,59,short,277.1382,15,4157.072999999999,,166034.49210000006
2017-12-07,close,52,short,281.52,11,,-173.87333333333345,162937.77210000006
2017-12-07,open,60,short,281.52,25,7038.0,,169975.77210000006
2017-12-08,close,53,short,285.5933333333333,14,,-259.2333333333331,165977.4654333334
2017-12-08,open,61,short,285.5933333333333,25,7139.833333333333,,173117.29876666673
2017-12-11,close,56,short,283.18333333333334,28,,-269.1733333333332,165188.1654333334
2017-12-11,open,62,short,283.18333333333334,22,6230.033333333334,,171418.19876666673
2017-12-12,open,63,short,290.15333333333336,30,8704.6,,180122.79876666673
2017-12-13,open,64,short,292.46333333333337,26,7604.046666666667,,187726.8454333334
2017-12-14,close,57,short,294.43333333333334,33,,-522.5,178010.5454333334
2017-12-14,open,65,short,294.43333333333334,20,5888.666666666667,,183899.21210000006
2017-12-15,close,58,short,294.77666666666664,16,,-290.6133333333328,179182.7854333334
2017-12-15,open,66,short,294.77666666666664,34,10022.406666666666,,189205.19210000007
2017-12-18,close,61,short,295.93333333333334,25,,-258.5,181806.85876666673
2017-12-18,open,67,short,295.93333333333334,14,4143.066666666667,,185949.9254333334
2017-12-19,open,68,short,296.3369666666667,13,3852.3805666666667,,189802.30600000007
2017-12-20,open,69,short,298.11333333333334,12,3577.36,,193379.66600000006
2017-12-21,close,62,short,295.84843333333333,22,,-278.6321999999991,186871.00046666674
2017-12-21,open,70,short,295.84843333333333,25,7396.2108333333335,,194267.21130000008
2017-12-22,close,63,short,294.87666666666667,30,,-141.6999999999989,185420.91130000007
2017-12-22,close,69,short,294.87666666666667,12,,38.840000000000146,181882.39130000008
2017-12-22,open,71,short,294.87666666666667,10,2948.7666666666664,,184831.15796666674
2017-12-26,open,72,short,295.81666666666666,6,1774.9,,186606.05796666673
2017-12-27,open,73,short,295.74,6,1774.44,,188380.49796666674
2017-12-28,close,67,short,296.0266666666667,14,,-1.3066666666672972,184236.12463333338
2017-12-28,open,74,short,296.0266666666667,6,1776.1600000000003,,186012.2846333334
2017-12-29,close,68,short,295.68,13,,8.540566666666564,182168.4446333334
2017-12-29,open,75,short,295.68,8,2365.44,,184533.8846333334
2018-01-02,open,76,short,296.40866666666665,14,4149.721333333333,,188683.6059666667
2018-01-03,open,77,short,297.25666666666666,15,4458.85,,193142.45596666672
2018-01-04,open,78,short,296.85333333333335,19,5640.213333333334,,198782.66930000007
2018-01-05,close,72,short,304.81666666666666,6,,-54.0,196953.76930000007
2018-01-05,open,79,short,304.81666666666666,28,8534.866666666667,,205488.63596666674
2018-01-08,close,75,short,308.92,8,,-105.92000000000007,203017.27596666673
2018-01-08,open,80,short,308.92,18,5560.56,,208577.83596666672
2018-01-09,open,81,short,316.2766666666667,25,7906.916666666668,,216484.75263333338
2018-01-10,open,82,short,319.30333333333334,19,6066.763333333333,,222551.51596666672
2018-01-11,open,83,short,325.90333333333336,19,6192.163333333334,,228743.67930000005
2018-01-12,close,76,short,334.48999999999995,14,,-533.1386666666667,224060.81930000006
2018-01-12,open,84,short,334.48999999999995,25,8362.249999999998,,232423.06930000006
2018-01-16,open,85,short,338.0733333333333,48,16227.52,,248650.58930000005
2018-01-17,open,86,short,346.55,37,12822.35,,261472.93930000006
2018-01-18,close,80,short,343.37999999999994,18,,-620.2799999999988,255292.09930000006
2018-01-18,open,87,short,343.37999999999994,34,11674.919999999998,,266967.01930000004
2018-01-19,close,81,short,339.16,25,,-572.0833333333321,258488.01930000007
2018-01-19,close,86,short,339.16,37,,273.4300000000003,245939.09930000006
2018-01-19,open,88,short,339.16,26,8818.16,,254757.25930000006
2018-01-22,close,84,short,337.1404,25,,-66.26000000000204,246328.74930000005
2018-01-22,close,87,short,337.1404,34,,212.1463999999978,234865.97570000007
2018-01-22,open,89,short,337.1404,24,8091.3696,,242957.34530000007
2018-01-23,open,90,short,336.44666666666666,16,5383.1466666666665,,248340.49196666674
2018-01-24,open,91,short,335.94,15,5039.1,,253379.59196666675
2018-01-25,open,92,short,340.675,17,5791.475,,259171.06696666675
2018-01-26,close,85,short,343.48333333333335,48,,-259.6800000000003,242683.86696666677
2018-01-26,open,93,short,343.48333333333335,18,6182.700000000001,,248866.56696666678
2018-01-29,close,88,short,341.8,26,,-68.64000000000124,239979.76696666676
2018-01-29,open,94,short,341.8,11,3759.8,,243739.56696666675
2018-01-30,close,93,short,337.28333333333336,18,,111.60000000000036,237668.46696666675
2018-01-30,open,95,short,337.28333333333336,17,5733.8166666666675,,243402.28363333343
2018-01-31,open,96,short,355.65333333333336,38,13514.826666666668,,256917.1103000001
2018-02-01,close,89,short,356.81,24,,-472.0704000000005,248353.67030000009
2018-02-01,open,97,short,356.81,19,6779.39,,255133.0603000001
2018-02-02,close,90,short,350.9363333333333,16,,-231.83466666666664,249518.07896666677
2018-02-02,close,96,short,350.9363333333333,38,,179.246000000001,236182.49830000012
2018-02-02,open,98,short,350.9363333333333,17,5965.917666666666,,242148.4159666668
